"","absolute","avgabs_intro","avgabs_total","avgsy_total","avgwrd_intro","avgwrd_total","balance","centrality","computer.assisted","concept","country","domain","dont_know","encourage","fixrefpoints","form_basic","future","gradation","instr_interv","instr_respon","interviewer","intr_request","intropresent","knowledge","labels","labels_gramm","labels_order","motivation","nabst_intro","nabst_total","ncategories","nnouns_total","nsub_quest","nsyll_total","numsub_intro","nwords_intro","nwords_total","opinionother","past","position","questiontype","range.correspondence","rel","repetition","scal_neutral","scale_basic","scale_corres","scale_trange","scale_urange","showc_boxes","showc_horiz","showc_letter","showc_over","showc_quest","showc_start","socdesir","stimulus","subjectiveop","symmetry","used_WH_word","usedshowcard","val","visual","from","nnouns_intro"
"11",0,0.975,1,4.28571428571429,0,4.66666666666667,0,1,0,"7","GR","112",2,0,3,0,1,0,0,0,1,0,0,0,3,0,2,0,1,4,5,4,2,60,0,0,14,1,0,53,0,3,1.9910871374694,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,2.18484144228439,1,"ESS",0.975
"12",1,0.975,1,1.81818181818182,0,11,0,4,0,"7","IE","112",2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,2,4,5,4,0,20,0,0,11,1,1,53,0,1,1.24560030395627,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3.77953386651243,0,"ESS",0.4875
"13",1,0.975,1,2.5,0,10,0,3,1,"7","NL","112",2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,2,3,5,3,1,25,0,0,10,1,1,53,0,1,1.6910508902787,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4.38244086684821,0,"ESS",0.4875
"14",0,0.975,0.666666666666667,5.5,0,8,0,2,1,"7","NO","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,2,5,3,0,44,0,0,8,1,0,53,0,3,0.861382587415468,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.77953386651243,1,"ESS",0.975
"15",0,0.975,1,5.6,0,10,0,1,0,"7","PL","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,5,5,5,1,56,0,0,10,1,0,53,0,2,3.38906178569501,1,1,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,5.06643819388542,1,"ESS",0.975
"16",0,0.975,1,2.36363636363636,0,11,0,4,0,"7","PT","112",2,0,3,0,1,0,0,0,1,0,0,0,3,0,2,0,2,4,5,4,1,26,0,0,11,1,0,53,0,3,1.84950831995808,1,1,0,3,1,1,0,0,0,1,0,0,2,1,0,1,0,1,4.91465491444396,1,"ESS",0.4875
"17",0,0.975,0.714285714285714,5.2,0,10,0,2,1,"7","SE","112",2,0,1,0,1,0,1,0,1,0,0,0,3,0,2,0,3,5,5,7,0,52,0,0,10,1,0,53,0,3,0.981840259975663,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.77953386651243,1,"ESS",0.325
"18",0,0.975,0.4,3.5,0,12,0,1,0,"7","SI","112",2,0,2,0,0,0,1,0,1,0,0,0,3,0,2,0,2,2,5,5,0,42,0,0,12,1,0,53,0,1,1.67614297337663,1,1,0,3,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1.79549382678048,1,"ESS",0.4875
"19",0,0.975,0.8,2.20689655172414,0,14.5,0,2,0,"1","AT","112",2,1,1,1,0,1,0,0,1,0,0,0,3,0,2,0,0,4,5,5,2,64,0,0,29,0,0,52,1,3,1.43685923800993,1,1,0,3,1,1,0,0,1,1,1,0,1,1,0,1,0,1,4.46854978943222,1,"ESS",0
"20",1,0.025,1,3.13333333333333,18,15,0,3,0,"1","BE","112",2,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,6,2,5,2,1,47,1,18,15,1,1,52,0,1,0.466785737415003,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.69241201036459,0,"ESS",0.00416666666666667
"21",0,0.975,0.5,2.11428571428571,0,17.5,0,2,1,"1","CH","112",2,1,1,1,0,1,1,1,1,0,0,0,3,0,2,0,0,1,5,2,1,74,0,0,35,0,0,52,1,3,0.537870869770303,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.69241201036459,1,"ESS",0
"22",0,0.025,0.875,3.2,0,10,0,1,0,"1","CZ","112",2,1,2,1,0,1,1,1,1,0,0,0,3,0,2,0,0,7,5,8,2,96,0,0,30,0,0,52,2,3,1.38083179469878,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,1,1,3.2287384007366,1,"ESS",0
"23",0,0.975,0.75,1.95,0,20,0,2,1,"1","DE","112",2,1,1,1,0,1,1,1,1,0,0,0,3,0,2,0,0,3,5,4,2,78,0,0,40,0,0,52,1,3,0.550546458972218,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.69241201036459,1,"ESS",0
"24",0,0.025,0,2.84,0,12.5,0,3,1,"1","DK","112",2,0,1,2,0,1,0,0,1,0,0,0,3,0,2,0,0,0,5,5,1,71,0,0,25,0,0,52,1,3,0.462640831794239,1,1,0,3,1,1,0,0,1,1,0,0,2,1,1,1,1,1,3.69241201036459,1,"ESS",0
"25",0,0.975,0.933333333333333,2.4,0,17.5,0,3,0,"1","ES","112",2,1,1,1,0,1,1,1,1,0,0,0,3,0,2,0,0,14,5,15,3,84,0,0,35,0,0,52,2,3,1.92727686400019,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,4.56277605459526,1,"ESS",0
"26",0,0.025,1,4.52173913043478,0,23,0,1,1,"1","FI","112",3,0,3,1,0,1,1,1,1,0,0,0,3,0,2,0,0,6,5,6,3,104,0,0,23,0,0,52,2,3,0.384561783922202,1,1,0,3,1,1,0,0,1,1,0,0,1,1,0,1,0,1,3.69241201036459,1,"ESS",0
"27",0,0.975,0.909090909090909,2.60869565217391,6,11.5,0,2,1,"1","FR","112",2,1,1,1,0,1,1,1,1,0,1,0,3,0,2,0,0,10,5,11,1,60,0,6,23,0,0,52,1,2,0.450228706416705,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,4.56277605459526,1,"ESS",0
"28",0,0.975,0.6,2.1875,0,16,0,3,1,"1","GB","112",2,1,1,1,0,1,1,1,1,0,0,0,3,0,2,0,0,3,5,5,3,70,0,0,32,0,0,52,2,3,0.640538394815274,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,1,1,3.69241201036459,1,"ESS",0
"29",0,0.025,1,3.15217391304348,0,3.28571428571429,0,1,0,"1","GR","112",2,1,3,1,0,1,1,1,1,0,0,3,3,0,2,1,0,4,5,4,10,145,0,0,46,0,0,52,2,3,1.58278946831328,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,1,1,6.82414374864501,1,"ESS",0
"30",1,0.975,0.6,2.1875,0,16,0,3,0,"1","IE","112",2,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,3,5,5,3,70,0,0,32,1,1,52,0,1,0.437849600334563,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.69241201036459,0,"ESS",0
"31",1,0.975,1,3.13333333333333,19,15,0,3,1,"1","NL","112",2,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,5,2,5,2,1,47,1,19,15,1,1,52,0,1,0.610281866837593,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.69241201036459,0,"ESS",0.195
"32",0,0.975,0.5,2.56666666666667,0,15,0,1,1,"1","NO","112",2,0,1,1,0,1,1,0,1,0,0,0,3,0,2,0,0,3,5,6,2,77,0,0,30,0,0,52,2,3,0.475087095179137,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,1,1,3.69241201036459,1,"ESS",0
"33",0,0.025,0.857142857142857,3,0,15,0,1,0,"1","PL","112",2,0,1,1,0,1,1,1,1,0,0,0,3,0,2,0,0,6,5,7,3,90,0,0,30,0,0,52,2,2,1.2972627636509,1,1,0,3,1,0,0,1,0,1,0,0,1,1,0,0,1,1,4.30314807549369,1,"ESS",0
"34",0,0.975,1,5,0,5.5,0,4,0,"1","PT","112",2,1,3,1,0,1,1,1,1,0,0,0,3,0,2,0,0,2,5,2,1,55,0,0,11,0,0,52,1,3,3.6397043594502,1,1,0,3,1,1,0,0,0,1,0,0,0,1,0,1,0,1,5.74746070164552,1,"ESS",0
"35",0,0.785,0.909090909090909,2.11111111111111,0,18,0,2,1,"1","SE","112",2,0,1,1,0,1,1,1,1,0,0,0,3,0,2,0,0,10,5,11,2,76,0,0,36,0,0,52,2,3,0.733081595312935,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,3.69241201036459,1,"ESS",0
"36",0,0.7375,0.5,2.30434782608696,0,11.5,0,1,0,"1","SI","112",2,0,2,1,0,1,1,0,1,0,0,0,3,0,2,0,0,2,5,4,2,53,0,0,23,0,0,52,2,1,0.425502411180035,1,1,0,3,0,0,0,0,1,1,1,0,1,1,0,0,1,1,6.14508954894937,1,"ESS",0
"37",0,0.975,0.5,2.45454545454545,0,11,0,3,0,"7","AT","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,0,2,5,4,1,27,0,0,11,1,0,54,0,3,1.61088896011236,1,1,0,3,1,1,0,0,1,1,1,0,1,1,0,1,0,1,2.53944141805675,1,"ESS",0
"38",1,0.025,0.8,2.5,0,12,0,2,0,"7","BE","7",2,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,5,4,5,5,1,30,0,0,12,1,1,54,0,1,1.56205549644722,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.16117471497251,0,"ESS",0.00500000000000001
"39",0,0.975,0.75,2.45454545454545,0,11,0,3,1,"7","CH","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,3,5,4,1,27,0,0,11,1,0,54,0,3,1.50810839755153,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,4.16117471497251,1,"ESS",0.975
"40",0,0.975,0.833333333333333,5.25,0,12,0,1,0,"7","CZ","7",2,0,3,0,0,0,0,0,1,0,0,0,3,0,2,0,1,5,5,6,1,63,0,0,12,1,0,54,0,3,2.00046306373111,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.37182051623593,1,"ESS",0.975
"41",0,0.975,1,2.45454545454545,0,11,0,1,1,"7","DE","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,3,5,3,1,27,0,0,11,1,0,54,0,3,2.56228529519434,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,4.46854978943222,1,"ESS",0.975
"42",0,0.975,0,4.21428571428571,0,14,0,2,1,"7","DK","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,0,5,5,0,59,0,0,14,1,0,54,0,3,2.43494251910712,1,1,0,3,1,1,0,0,1,1,0,0,1,1,0,1,0,1,4.56277605459526,1,"ESS",0.975
"43",0,0.975,0.8,3.5,0,14,0,2,0,"7","ES","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,2,4,5,5,1,49,0,0,14,1,0,54,0,3,1.65406582907203,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,4.16117471497251,1,"ESS",0.4875
"44",0,0.341666666666667,1,8,0,8,0,1,1,"7","FI","7",3,0,3,0,1,0,0,0,1,0,0,0,3,0,2,0,1,4,5,4,0,64,0,0,8,1,0,54,0,3,1.54160181493282,1,1,0,3,1,1,0,0,1,1,0,0,1,1,0,1,0,1,2.70842455912539,1,"ESS",0.341666666666667
"45",0,0.975,0.4,1.5625,0,16,0,3,1,"7","FR","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,2,2,5,5,1,25,0,0,16,1,0,54,0,2,1.97253586619857,1,1,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2.79452438131774,1,"ESS",0.4875
"46",0,0.975,0.75,1.66666666666667,0,12,0,2,1,"7","GB","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,0,3,5,4,1,20,0,0,12,1,0,54,0,3,1.50149599203271,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,4.16117471497251,1,"ESS",0
"47",0,0.975,0.8,4.4,0,7.5,0,1,0,"7","GR","7",2,0,3,0,1,0,0,0,1,0,0,0,3,0,2,0,1,4,5,5,1,66,0,0,15,1,0,54,0,3,1.34451023040752,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1.79549382678048,1,"ESS",0.975
"48",1,0.975,0.75,1.66666666666667,0,12,0,2,0,"7","IE","7",2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,3,5,4,1,20,0,0,12,1,1,54,0,1,1.62514075241664,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.16117471497251,0,"ESS",0.975
"49",1,0.975,0.75,2.72727272727273,0,11,0,2,1,"7","NL","7",2,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,3,3,5,4,1,30,0,0,11,1,1,54,0,1,1.6910508902787,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.16117471497251,1,"ESS",0.325
"50",0,0.975,0.666666666666667,4.6,0,10,0,2,1,"7","NO","7",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,2,2,5,3,0,46,0,0,10,1,0,54,0,3,0.751041159525189,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.43500253631199,1,"ESS",0.4875
"51",0,0.975,0.714285714285714,9.14285714285714,0,7,0,1,0,"7","PL","7",2,0,1,0,0,0,0,0,1,0,0,0,3,0,2,0,1,5,5,7,1,64,0,0,7,1,0,54,0,2,1.4179683510556,1,1,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,4.16117471497251,1,"ESS",0.975
"52",0,0.975,0.8,2.17647058823529,0,17,0,3,0,"7","PT","7",2,0,3,0,1,0,0,0,1,0,0,0,3,0,2,0,2,4,5,5,1,37,0,0,17,1,0,54,0,3,1.72901529343683,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,5.46505267639135,1,"ESS",0.4875
"53",0,0.975,0.714285714285714,5.2,0,10,0,2,1,"7","SE","7",2,0,1,0,1,0,1,0,1,0,0,0,3,0,2,0,3,5,5,7,0,52,0,0,10,1,0,54,0,3,1.76013788058306,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,4.16117471497251,1,"ESS",0.325
"54",0,0.975,0.5,3.72727272727273,0,11,0,1,0,"7","SI","7",2,0,2,0,0,0,1,0,1,0,0,0,3,0,2,0,2,2,5,4,0,41,0,0,11,1,0,54,0,1,2.04839288192814,1,1,0,3,0,0,0,0,1,1,1,0,1,1,0,0,0,1,2.16384466730964,1,"ESS",0.4875
"55",0,0.975,1,3.46153846153846,0,13,0,2,0,"7","AT","120",1,0,3,1,1,1,0,0,1,0,0,0,3,0,1,0,0,2,5,2,1,45,0,0,13,0,0,13,3,1,2.10876511052656,1,1,0,2,0,0,0,0,1,1,1,1,1,0,1,0,0,1,4.56277605459526,1,"ESS",0
"56",1,0.025,0.666666666666667,2.57894736842105,0,19,0,2,0,"7","BE","120",2,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,4,2,5,3,1,49,0,0,19,1,1,13,0,1,2.16108108800993,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.56277605459526,1,"ESS",0.00625000000000001
"57",0,0.975,1,2.83333333333333,0,18,0,2,1,"7","CH","120",2,0,3,1,1,1,1,0,1,0,0,0,3,0,1,0,0,1,5,1,2,51,0,0,18,0,0,13,3,1,2.64790959667558,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4.56277605459526,1,"ESS",0
"58",0,0.025,0.666666666666667,3.78571428571429,0,14,0,1,0,"7","CZ","120",2,0,2,1,0,1,1,0,1,0,0,0,3,0,1,0,0,2,5,3,2,53,0,0,14,0,0,13,1,2,1.9496680745868,1,3,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,1,4.56277605459526,1,"ESS",0
"59",0,0.5,0.75,2.65217391304348,0,11.5,0,2,1,"7","DE","120",2,0,3,1,1,1,0,1,1,0,0,0,3,0,1,0,0,3,5,4,2,61,0,0,23,0,0,13,3,1,1.34164798180167,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4.56277605459526,1,"ESS",0
"60",0,0.7375,0,3,0,21,0,3,1,"7","DK","120",2,0,3,1,1,1,0,0,1,0,0,0,3,0,1,0,0,0,5,2,2,63,0,0,21,0,0,13,1,1,1.51811260266266,1,1,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,1,4.56277605459526,1,"ESS",0
"61",0,0.975,0.75,3.57894736842105,0,19,0,2,0,"7","ES","120",2,0,3,1,1,1,1,0,1,0,0,0,3,0,1,0,0,3,5,4,2,68,0,0,19,0,0,13,3,1,1.47532297324247,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,6.82414374864501,1,"ESS",0
"62",0,0.025,1,6.5,0,5,0,1,1,"7","FI","120",3,0,3,2,1,1,1,1,1,0,0,0,3,0,1,0,0,2,5,2,0,65,0,0,10,0,0,13,1,3,1.96386996386565,1,1,0,2,1,1,0,0,1,1,0,0,1,0,1,1,0,1,4.56277605459526,1,"ESS",0
"63",0,0.975,1,4.36363636363636,0,11,0,2,1,"7","FR","120",2,0,3,1,1,1,1,0,1,0,0,0,3,0,1,0,0,2,5,2,1,48,0,0,11,0,0,13,3,1,0.928313395927527,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6.82414374864501,1,"ESS",0
"64",0,0.975,0.5,2.23809523809524,0,10.5,0,3,1,"7","GB","120",2,0,3,1,1,1,0,1,1,0,0,0,3,0,1,0,0,2,5,4,1,47,0,0,21,0,0,13,1,1,1.14922336798259,1,1,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,1,4.56277605459526,1,"ESS",0
"65",0,0.975,0.8,3.76,0,4.16666666666667,0,1,0,"7","GR","120",2,1,2,1,1,1,1,1,1,0,0,0,3,0,1,0,0,4,5,5,3,94,0,0,25,0,0,13,1,1,1.74449043111686,1,3,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,4.56277605459526,1,"ESS",0
"66",1,0.975,0.666666666666667,2.52941176470588,0,8.5,0,3,0,"7","IE","120",2,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,2,5,3,1,43,0,0,17,1,1,13,0,1,1.39340659470196,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.56277605459526,1,"ESS",0
"67",1,0.975,0.666666666666667,2.57894736842105,0,19,0,2,1,"7","NL","120",2,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,2,5,3,1,49,0,0,19,0,1,13,0,1,1.55534541914711,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.56277605459526,1,"ESS",0.975
"68",0,0.025,0.666666666666667,2.8,0,7.5,0,2,1,"7","NO","120",2,0,3,1,1,1,1,1,1,0,0,0,3,0,1,0,0,2,5,3,1,42,0,0,15,0,0,13,1,2,1.57598997282586,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4.56277605459526,1,"ESS",0
"69",0,0.975,0.888888888888889,3.44,0,12.5,0,1,0,"7","PL","120",2,0,3,1,1,1,1,1,1,0,0,0,3,0,1,0,0,8,5,9,4,86,0,0,25,0,0,13,1,1,1.70629645372496,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4.56277605459526,1,"ESS",0
"70",0,0.025,0.5,5.7,0,10,0,2,0,"7","PT","120",2,0,3,1,1,1,1,0,1,0,0,0,3,0,1,0,0,1,5,2,1,57,0,0,10,0,0,13,3,1,1.49491156724039,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6.82414374864501,1,"ESS",0
"71",0,0.025,0.75,2.45833333333333,0,12,0,1,1,"7","SE","120",1,0,2,1,1,1,1,1,1,0,0,0,3,0,1,0,0,3,5,4,1,59,0,0,24,0,0,13,1,1,1.20097075309157,1,3,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,4.56277605459526,1,"ESS",0
"72",0,0.341666666666667,0.333333333333333,3.29411764705882,0,17,0,1,0,"7","SI","120",3,0,3,1,0,1,0,0,1,0,0,0,3,0,1,0,0,1,5,3,2,56,0,0,17,0,0,13,1,1,1.66155472699377,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,4.56277605459526,1,"ESS",0
"73",0,0.975,1,2.27777777777778,0,18,0,2,0,"1","AT","101",1,0,1,2,0,1,0,0,1,0,0,0,3,0,1,0,0,1,5,1,2,41,0,0,18,0,0,12,1,1,1.04977709253389,1,1,0,2,0,0,0,0,1,1,1,1,1,0,0,0,1,1,6.82414374864501,1,"ESS",0
"74",1,0.025,0.5,1.84210526315789,0,19,0,3,0,"1","BE","101",2,0,0,2,1,0,1,0,1,0,0,0,1,0,1,1,3,1,5,2,2,35,0,0,19,1,1,12,0,1,1.17622202393535,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.82414374864501,0,"ESS",0.00833333333333334
"75",0,0.975,1,2.29411764705882,0,17,0,2,1,"1","CH","101",2,0,1,2,0,1,1,0,1,0,0,0,3,0,1,0,0,1,5,1,2,39,0,0,17,0,0,12,1,1,0.828713127492736,1,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,6.82414374864501,1,"ESS",0
"76",0,0.975,1,2.66666666666667,0,15,0,1,0,"1","CZ","101",2,0,1,2,0,1,1,0,1,0,0,0,3,0,1,0,0,1,5,1,2,40,0,0,15,0,0,12,1,1,1.09620271107115,1,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,6.82414374864501,1,"ESS",0
"77",0,0.975,0.5,2.18181818181818,0,11,0,2,1,"1","DE","101",2,0,1,2,0,1,0,1,1,0,0,0,3,0,1,0,0,1,5,2,2,48,0,0,22,0,0,12,1,1,1.56549533359132,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,6.82414374864501,1,"ESS",0
"78",0,0.658333333333333,0,3,0,14,0,3,1,"1","DK","101",2,0,1,2,0,1,0,0,1,0,0,0,3,0,1,0,0,0,5,1,1,42,0,0,14,0,0,12,1,1,1.3236813679017,1,3,0,2,0,0,0,0,1,1,0,0,2,0,0,0,1,1,6.82414374864501,1,"ESS",0
"79",0,0.975,1,2.94736842105263,0,19,0,4,0,"1","ES","101",2,0,1,2,0,1,1,0,1,0,0,0,3,0,1,0,0,3,5,3,1,56,0,0,19,0,0,12,1,1,0.918423186191546,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,6.82414374864501,1,"ESS",0
"80",0,0.025,1,3,0,10,0,1,1,"1","FI","101",3,0,1,2,0,1,1,1,1,0,0,0,3,0,1,0,0,2,5,2,3,60,0,0,20,0,0,12,1,1,1.0369678708815,1,3,0,2,0,0,0,0,1,1,0,0,1,0,1,0,1,1,6.82414374864501,1,"ESS",0
"81",0,0.975,1,3.47368421052632,0,19,0,2,1,"1","FR","101",2,0,1,0,0,0,1,0,1,0,0,0,3,1,1,0,3,8,5,8,3,66,0,0,19,1,0,12,0,1,1.03950958233933,1,3,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,6.82414374864501,1,"ESS",0.325
"82",0,0.975,0.5,2.3,0,10,0,4,1,"1","GB","101",2,0,1,2,0,1,0,1,1,0,0,0,3,0,1,0,0,1,5,2,2,46,0,0,20,0,0,12,1,1,1.0369678708815,1,3,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,6.82414374864501,1,"ESS",0
